0,0
0,0,3
0,0,2
0,0,4
0,0,6
0,0,11
0,0,12
0,0,14
0,0,13
0,0,16
0,0,15
0,0,15
0,0,13
0,0,14
0,0,15
0,0,17
0,0,19
0,0,23
0,0,29
0,0,29
0,0,27
0,0,30
0,0,27
0,0,28
0,0,29
0,0,36
0,0,38
0,0,42
0,0,48
0,0,52
0,0,49
0,0,53
0,0,56
0,0,62
0,0,66
0,0,70
0,0,76
0,0,84
0,0,86
0,0,90
0,0,91
0,0,98
0,0,96
0,0,100
0,0,101
0,0,113
0,0,117
0,0,121
0,0,122
0,0,120
0,0,122
0,0,121
0,0,118
0,0,121
0,0,123
0,0,126
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,2
0,0,3
0,0,4
0,0,3
0,0,3
0,0,2
0,0,2
0,0,3
0,0,1
0,0,2
0,0,2
0,0,2
0,0,4
0,0,6
0,0,4
0,0,5
0,0,6
0,0,7
0,0,7
0,0,7
0,0,11
0,0,19
0,0,18
0,0,20
0,0,21
0,0,24
0,0,25
0,0,29
0,0,29
0,0,30
0,0,28
0,0,31
0,0,28
0,0,29
0,0,30
0,0,31
0,0,29
0,0,32
0,0,33
0,0,40
0,0,42
0,0,44
0,0,45
0,0,54
0,0,56
0,0,57
0,0,55
0,0,55
0,0,59
0,0,61
0,0,66
0,0,65
0,0,67
0,0,68
0,0,71
0,0,69
0,0,71
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,12
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,3
0,0,3
0,0,5
0,0,5
0,0,5
